SpinCore CPMG NMR\NQR Experiment
Spectrometer Frequency (MHz): 29.9016
Spectral Width (kHz): 100.0
Number of Acquisition Points: 12114.0
90 Degree Pulse-Width (us): 1.5
90 Degree Pulse Phase (Degrees): 0.00
Transient Delay (us): 15.00
Tau (ms): 1.00
Points Per Echo: 0.0
Number of Echoes: 60.0
Repetition Delay (s): 
Number of Scans: 100.0
ADC Clock Frequency (MHz): 75.00
Blanking Bit: 2.0
Deblank Delay: 3000.00
Output Amplitude Scaling: 1.00
Bypass FIR: Yes
 
Time (s), Magnitude Data
0.0078000, 299432.3091067
0.0078100, 332336.6237838
0.0078200, 291337.4412086
0.0078300, 349203.5180593
0.0078400, 402665.2606049
0.0078500, 395446.6800189
0.0078600, 421202.0311679
0.0078700, 491043.4854888
0.0078800, 537842.3294284
0.0078900, 618379.2316702
0.0079000, 753734.6377871
0.0079100, 898257.8202927
0.0079200, 1061200.8164268
0.0079300, 1194959.6101660
0.0079400, 1348992.8461723
0.0079500, 1527712.5108622
0.0079600, 1778562.3933256
0.0079700, 2137570.1653263
0.0079800, 2564525.6828790
0.0079900, 3004550.1801984
0.0080000, 3316668.3620683
0.0080100, 3536692.2741953
0.0080200, 3619746.0159979
0.0080300, 3681374.6810326
0.0080400, 3584689.7318776
0.0080500, 3266324.8806653
0.0080600, 2878078.5349288
0.0080700, 2458073.6229741
0.0080800, 1981891.1150495
0.0080900, 1536296.7473018
0.0081000, 1299313.7680499
0.0081100, 1139552.3540851
0.0081200, 1024703.8528043
0.0081300, 954664.1548618
0.0081400, 917740.3318069
0.0081500, 832274.3364829
0.0081600, 730722.6781002
0.0081700, 641591.3250762
0.0081800, 552945.4794987
0.0081900, 529093.5744431
0.0082000, 422185.2927519
0.0082100, 431908.4574687
0.0082200, 365249.3205921
0.0082300, 351708.1226657
0.0082400, 333246.0832493
0.0082500, 297876.1079711
0.0082600, 313043.1261184
0.0082700, 264749.2912191
0.0082800, 292905.0534525
0.0082900, 250646.0028806
0.0083000, 290944.5998433
0.0083100, 239300.8509492
0.0083200, 233562.8060287
0.0083300, 236682.8904758
0.0083400, 219627.9621382
0.0083500, 232396.7505151
0.0083600, 221180.6373126
0.0083700, 196629.0505826
0.0083800, 216355.7279135
0.0083900, 170112.4004886
0.0084000, 152490.3947565
0.0084100, 174270.5475575
0.0084200, 161907.5802179
0.0084300, 154181.4862589
0.0084400, 150989.4287856
0.0084500, 145298.9599206
0.0084600, 101972.0589034
0.0084700, 143282.7174086
0.0084800, 137673.3580400
0.0084900, 121567.1660688
0.0085000, 78664.1818428
0.0085100, 145439.8032796
0.0085200, 75560.4044788
0.0085300, 110559.6946450
0.0085400, 95185.7429871
0.0085500, 85330.0899859
0.0085600, 109893.3100284
0.0085700, 85276.7569095
0.0085800, 81528.5294973
0.0085900, 85642.6486746
0.0086000, 56489.4868095
0.0086100, 81343.3814456
0.0086200, 84906.3806554
0.0086300, 50910.6364231
0.0086400, 58112.6121681
0.0086500, 83148.4302678
0.0086600, 48559.6946551
0.0086700, 68008.4705460
0.0086800, 61298.8116116
0.0086900, 82157.0625388
0.0087000, 43030.6591281
0.0087100, 68642.7272914
0.0087200, 36700.1958169
0.0087300, 73403.8327337
0.0087400, 60944.4238056
0.0087500, 44750.0011173
0.0087600, 85368.7966707
0.0087700, 43982.4344256
0.0087800, 72053.4601876
0.0087900, 35875.0129199
0.0088000, 62352.8967090
0.0088100, 61996.6277309
0.0088200, 32645.0371726
0.0088300, 63166.0754678
0.0088400, 28807.0215225
0.0088500, 36893.0847179
0.0088600, 30923.3537153
0.0088700, 64088.8139148
0.0088800, 42148.4916219
