SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1414.1235, 17317.1175
-1413.9404, 56653.8288
-1413.7573, 64703.2770
-1413.5742, 62970.1663
-1413.3911, 53145.6725
-1413.2080, 94162.7182
-1413.0249, 9712.2698
-1412.8418, 11744.4018
-1412.6587, 50363.3256
-1412.4756, 67011.2548
-1412.2925, 43734.9750
-1412.1094, 50069.7159
-1411.9263, 18505.4507
-1411.7432, 26083.7141
-1411.5601, 13678.7158
-1411.3770, 58950.0607
-1411.1938, 31224.1630
-1411.0107, 33880.9010
-1410.8276, 14619.0390
-1410.6445, 62758.1951
-1410.4614, 33561.8831
-1410.2783, 74063.0128
-1410.0952, 32077.5858
-1409.9121, 30211.4986
-1409.7290, 30034.8820
-1409.5459, 40298.4132
-1409.3628, 19114.4894
-1409.1797, 71387.6061
-1408.9966, 8038.2393
-1408.8135, 8354.7795
-1408.6304, 59622.4228
-1408.4473, 32395.5295
-1408.2642, 54723.0002
-1408.0811, 30765.9823
-1407.8979, 9329.8430
-1407.7148, 43342.2597
-1407.5317, 76140.1153
-1407.3486, 18499.1520
-1407.1655, 66967.7902
-1406.9824, 97917.7059
-1406.7993, 7992.3665
-1406.6162, 64423.5425
-1406.4331, 27968.2042
-1406.2500, 60263.4181
-1406.0669, 49757.6562
-1405.8838, 52823.2327
-1405.7007, 53901.1605
-1405.5176, 61166.3592
-1405.3345, 51548.7134
-1405.1514, 60629.2735
-1404.9683, 80069.0194
-1404.7852, 105165.5136
-1404.6021, 64385.5154
-1404.4189, 34374.0443
-1404.2358, 88480.3739
-1404.0527, 19932.9023
